green,red,IR,acc_x,acc_y,acc_z,sample_index
86353,194277,207093,8.1044901462,-4.2281175342,3.0317062341999996,170
86512,194309,207109,8.0255270004,-4.5008993106,3.0532416376,171
86637,194383,207142,8.2157563971,-4.3453658416,2.9934210726,172
86816,194429,207134,8.137989662599999,-4.4291146326,3.014956476,173
86977,194500,207221,8.1391860739,-4.3680976563,3.0544380489000003,174
87181,194584,207278,7.9585279676,-4.3154555591,2.9407789753999998,175
87335,194650,207349,8.1308111948,-4.3513478981,3.0293134116,176
87489,194716,207332,8.1188470818,-4.378865358,3.0532416376,177
87536,194759,207379,7.9417782094,-4.4279182213,2.9946174839,178
87286,194633,207313,8.0099736535,-4.2915273330999995,3.0113672421,179
86953,194397,207194,8.267202082999999,-4.4111684631,3.0233313551,180
86624,194190,207107,8.0015987744,-4.415954108299999,3.0759734523,181
86559,194019,207036,8.0961152671,-4.527220359199999,3.0101708308,182
86509,193938,206952,8.049455226400001,-4.4398823343,2.9766713144,183
86545,193913,206905,8.1224363157,-4.4171505196,3.0161528873,184
86630,193969,206948,8.1810604694,-4.4518464473,3.0640093393,185
86765,194010,206964,8.0075808309,-4.3716868902,2.9431717980000003,186
86851,194018,207006,8.0542408716,-4.4590249151000005,3.0711878071,187
86934,194047,206972,8.182256880699999,-4.354937132,2.9168507494,188
87025,194087,206986,8.1583286547,-4.4362931003999995,3.1525437755,189
87113,194176,207012,8.1463645417,-4.4374895117,3.0029923629999997,190
87221,194213,207026,8.1774712355,-4.4195433422,3.0125636533999995,191
87354,194254,207120,8.0853475654,-4.4793639072,3.0412775246,192
87493,194337,207132,8.0482588151,-4.4841495524,3.0532416376,193
87630,194416,207206,8.1415788965,-4.342973019,2.9527430884,194
87790,194514,207236,8.051848049,-4.2484565263,2.8773691765,195
87915,194552,207271,7.992027484,-4.3956151162,2.9934210726,196
88110,194652,207319,8.1774712355,-4.3597227772,2.9647072014,197
88210,194717,207356,8.1583286547,-4.4673997942,2.9814569596,198
88121,194747,207391,8.0542408716,-4.4195433422,3.0424739359,199
87778,194540,207280,8.0685978072,-4.3369909625,2.9527430884,200
87405,194263,207132,8.0674013959,-4.390829471,3.0424739359,201
87119,194079,207054,8.0063844196,-4.3334017286,3.0245277664,202
86941,193953,206991,8.1631142999,-4.3154555591,2.9479574432,203
86842,193902,206919,7.942974620699999,-4.450650036,2.9694928465999997,204
86861,193904,206911,8.1188470818,-4.347758664200001,3.0735806297,205
86927,193922,206939,8.1104722027,-4.4051864066,3.0975088557,206
86997,193996,206974,8.1391860739,-4.4075792292,3.0807590974999997,207
87028,194035,206979,7.998009540499999,-4.331008906,3.0329026454999997,208
87074,194059,207004,8.0554372829,-4.3250268494999995,2.9336005076,209
87128,194093,206985,8.0733834524,-4.319044793,3.0029923629999997,210
87196,194121,207037,8.0350982908,-4.4339002778,3.0125636533999995,211
87285,194177,207037,8.0590265168,-4.4494536247,2.9826533709,212
87378,194208,207080,8.1188470818,-4.4243289874,3.0053851856000002,213
87532,194311,207108,8.0542408716,-4.5332024157,3.0424739359,214
87619,194352,207132,8.0183485326,-4.4207397534999995,3.0735806297,215
87758,194467,207216,8.1427753078,-4.4315074552,3.0400811133000003,216
87878,194555,207289,8.0697942185,-4.3130627365,2.9575287336000002,217
88004,194643,207294,8.0207413552,-4.4602213264,2.9982067177999996,218
88137,194698,207421,8.123632727,-4.3058842687,3.0329026454999997,219
88176,194780,207423,8.1439717191,-4.4087756405,2.9204399833,220
87875,194745,207366,8.159525066,-4.4339002778,2.919243572,221
87393,194478,207300,8.0973116784,-4.4279182213,3.0448667585,222
86929,194160,207169,8.0650085733,-4.3597227772,3.0317062341999996,223
86617,194044,207084,8.0805619202,-4.4518464473,2.9383861528,224
86429,193962,206993,8.1942209937,-4.3848474145,3.0029923629999997,225
86349,193923,206951,8.1882389372,-4.498506487999999,2.9347969189,226
86399,193925,206981,8.0542408716,-4.320241204299999,3.0424739359,227
86440,194023,206964,8.0829547428,-4.4362931003999995,3.0125636533999995,228
86457,194045,206985,8.0063844196,-4.4662033829,2.9647072014,229
86440,194024,206998,8.1870425259,-4.2987058009,3.0604201053999995,230
86432,194089,207023,7.969295669299999,-4.4099720518000005,2.9359933301999996,231
86430,194131,206992,8.099704501,-4.5152562462,3.0592236941,232
86459,194138,207044,8.1344004287,-4.4697926167999995,2.9886354273999998,233
86547,194176,207061,8.0781690976,-4.4315074552,3.0293134116,234
86632,194239,207079,8.1631142999,-4.4697926167999995,3.0352954681,235
86743,194303,207137,8.039883936,-4.4183469309,3.0436703472,236
86862,194384,207195,8.1942209937,-4.3764725354000005,3.0927232105,237
86947,194443,207261,8.0805619202,-4.4243289874,3.0604201053999995,238
87104,194565,207247,8.1511501869,-4.4398823343,3.0436703472,239
87162,194561,207312,8.1332040174,-4.5080777784,3.0364918793999998,240
86848,194571,207325,8.062615750700001,-4.474578262,2.9694928465999997,241
86420,194372,207225,8.0063844196,-4.4075792292,2.9407789753999998,242
85764,194101,207075,8.173882001600001,-4.2843488653,3.0317062341999996,243
85342,193930,206971,8.2217384536,-4.4099720518000005,3.0556344602,244
85097,193812,206927,8.0685978072,-4.4063828179,2.9766713144,245
84961,193779,206866,8.2061851067,-4.3752761241,3.1094729686999996,246
84998,193764,206855,8.13559684,-4.4123648744,3.0029923629999997,247
85062,193802,206910,8.0147592987,-4.5200418914,2.9934210726,248
85089,193849,206902,8.123632727,-4.3932222936,3.0951160330999996,249
85096,193856,206918,8.1320076061,-4.3728833015,2.9599215562,250
85100,193878,206924,7.9740813145,-4.3812581806,2.8989045799,251
85103,193922,206960,8.044669581199999,-4.4111684631,3.0544380489000003,252
85145,193895,206965,8.063812162,-4.465006971599999,2.9826533709,253
85229,193956,206976,8.1128650253,-4.4279182213,3.0233313551,254
85360,194006,207002,8.0374911134,-4.4207397534999995,2.8989045799,255
85455,194089,207051,8.005188008300001,-4.3884366484,2.9718856692,256
85596,194135,207083,8.039883936,-4.3357945512,3.0077780082,257
85742,194245,207156,8.039883936,-4.4470608021,3.0173492985999997,258
85885,194270,207159,8.115257847899999,-4.4339002778,3.0723842184,259
85831,194344,207235,7.928617685100001,-4.4051864066,3.0125636533999995,260
85310,194182,207145,8.005188008300001,-4.3621155998,2.9383861528,261
84580,193925,207032,8.182256880699999,-4.4195433422,3.0317062341999996,262
83984,193612,206896,8.1547394208,-4.4075792292,2.9958138952,263
83632,193480,206796,8.1260255496,-4.3932222936,3.0723842184,264
83437,193374,206736,8.1128650253,-4.3776689467,2.9970103065,265
83429,193307,206741,8.0291162343,-4.2795632201,2.9826533709,266
83556,193352,206734,8.1463645417,-4.4183469309,3.0532416376,267
83662,193400,206785,7.9262248625,-4.4135612857,3.0269205889999995,268
83757,193462,206798,8.124829138299999,-4.3633120111,3.1022945009000003,269
83815,193469,206836,8.2660056717,-4.4398823343,3.0675985732,270
83906,193505,206799,8.2037922841,-4.5008993106,3.0221349438,271
83989,193580,206881,7.984849016199999,-4.3716868902,3.0005995404,272
84110,193620,206914,8.0327054682,-4.4518464473,2.9766713144,273
84253,193683,206968,8.182256880699999,-4.4075792292,3.0340990568,274
84424,193715,206994,8.1320076061,-4.4087756405,2.9647072014,275
84610,193847,207044,7.9716884919,-4.4291146326,3.0496524037,276
84800,193895,207109,8.0303126456,-4.4362931003999995,3.0005995404,277
84970,194011,207133,8.1391860739,-4.402793583999999,2.979064137,278
85165,194101,207189,8.123632727,-4.3585263658999995,2.9455646206,279
85305,194175,207281,8.0793655089,-4.5595234643,3.1046873235,280
85031,194129,207259,8.1080793801,-4.3417766077,2.9575287336000002,281
84334,193888,207186,8.1487573643,-4.4195433422,2.8785655878,282
83696,193551,206983,8.1403824852,-4.4422751569,3.0508488149999997,283
83270,193361,206873,8.1308111948,-4.4315074552,2.9886354273999998,284
83081,193240,206858,8.0315090569,-4.4673997942,2.9575287336000002,285
82962,193129,206781,8.044669581199999,-4.4841495524,3.0077780082,286
83102,193128,206763,7.9752777258,-4.2508493489,3.0376882907,287
83282,193232,206764,8.063812162,-4.5008993106,3.0580272828,288
83464,193282,206823,8.057830105499999,-4.4051864066,3.014956476,289
83553,193292,206854,8.1367932513,-4.3812581806,2.9742784918,290
83686,193373,206931,8.0219377665,-4.4315074552,3.0759734523,291
83780,193397,206966,8.044669581199999,-4.4315074552,2.9742784918,292
83921,193462,206924,8.0853475654,-4.3154555591,3.0508488149999997,293
84070,193539,206984,8.0207413552,-4.4578285038,3.0879375653000003,294
